category,level,move_id,name,description,detailed_description,video_url
basic,basic-1,sit-stand,Sit on ice and stand up,Learn to safely sit down on the ice and stand back up,Start by bending your knees and lowering yourself to a seated position on the ice. To stand up turn onto your hands and knees place one foot between your hands and push yourself up to a standing position.,https://www.youtube.com/watch?v=k146HBcbcac
basic,basic-1,march-forward,March forward across the ice,Practice marching steps to develop balance while moving,Lift your knees high and take small steps forward focusing on maintaining balance. Keep your arms slightly out to the sides for stability.,https://www.youtube.com/watch?v=GAyMgZc8hJA
basic,basic-1,two-foot-glide,Forward two-foot glide,Learn to glide forward on two feet,Push off gently and glide forward with feet parallel and hip-width apart. Keep your knees slightly bent and maintain an upright posture. Focus on balance and staying steady while gliding.,https://www.youtube.com/watch?v=9zJuwbVSmPY
basic,basic-1,dip,Dip,Practice bending knees while gliding,While gliding forward on two feet bend your knees deeply and then straighten them. Keep your upper body straight and arms out for balance. This helps develop knee bend control and balance.,https://www.youtube.com/watch?v=X829xKqyEwE
basic,basic-1,forward-swizzles,Forward swizzles,Create a series of connected curves on ice,Start with feet together then push outward with both feet to form a V-shape. Bring feet back together by applying pressure on inside edges. Repeat 6-8 times in succession.,https://www.youtube.com/watch?v=E2bzX5taswY
basic,basic-1,backward-wiggles,Backward wiggles,Introduction to backward movement,With feet hip-width apart shift weight from side to side while moving backward. Allow heels to turn outward slightly with each weight shift. Perform 6-8 wiggles in a row.,https://www.youtube.com/watch?v=ktCpdLzpG4k
basic,basic-1,snowplow-stop,Snowplow stop,Learn to stop safely on ice,While gliding forward push outward with both feet turning toes inward and applying pressure to inside edges to create friction and come to a stop. Keep upper body straight.,https://www.youtube.com/watch?v=5fzrRypGR28
basic,basic-1,rocking-horse,Rocking horse,Practice shifting weight front to back,From standing position rock forward onto balls of feet then backward onto heels creating a rocking motion. Maintain balance and repeat 2-3 times smoothly.,https://www.youtube.com/watch?v=1J42cuiHx_o
basic,basic-1,two-foot-hop,Two-foot hop in place,Introduction to jumping on ice,With feet parallel and knees bent jump slightly off ice and land in same position with both feet. Focus on soft landing with bent knees. This is an optional move for basic level 1.,https://www.youtube.com/watch?v=y_kK6N1dmpY
basic,basic-2,one-foot-glides,Forward one foot glides – R and L,Practice balancing on one foot while moving,Push off and glide forward on one foot with the free foot slightly off the ice. Keep your skating knee bent and maintain good posture with arms extended for balance. Practice on both right and left feet.,https://www.youtube.com/watch?v=qU3Z8NGRtao
